Requirement,Specific_Type
The terminal must authenticate the card and the transaction at the point of sale ensuring that they are genuine and valid,SE
The terminal must participate in a two-way authentication process with the card,SE
For cancel last purchase transactions the terminal must validate the card and sign the cancellation,SE
The terminal must secure transactions by retaining the card's symmetric MACing key signature as part of the transaction.,SE
The terminal must generate a symmetric MACing key signature and send it to the merchant acquirer.,SE
Incremental purchase transactions must use two-way authentication for the initial session authentication and at least one-way with the terminal authenticating the card for the remaining increments or some of the remaining increments,SE
Load and unload functions must be authenticated using end-to-end security between the card and the card issuer,SE
The issuer host must authenticate the card upon the load/unload request,SE
The card must authenticate the issuer host upon the response to the request,SE
A proof must be sent to the load acquirer that a load or unload occurred to avoid repudiation,SE
The management of keys must be accomplished in a secure certified environment,SE
There may be multiple certification authorities that manage keys for the system including the possibility of one overall highest level certification authority (perhaps on an international level) and domestic certification authorities for each country or region,SE
The system must protect the integrity of key transaction data including transaction identification currency code and amount. If tampering is suspected the system must cause the transaction to fail,SE
Funds issuers must accept funds authorization requests regardless of the load currency type as permitted,SE
Authorizations for load transactions require a form of cardholder authentication for funds requests,SE
The load device must support on-line PIN encryption or off-line PIN verification,SE
The load device which supports only off-line PIN verification must support both the off-line PIN encryption method and the off-line PIN plain text verification method as defined in EMV,SE
6) The system shall provide the ability to uniquely identify a patient and tie the record to a single patient.,SE
"Statement: Capture and explicitly label patient originated data, link the data source with the data, and support provider authentication for inclusion in patient health record.",SE
The system shall securely relate medications to be administered to the unique identity of the patient (see DC.1.1.1).,SE
Appropriate time stamps for all medication related activity are generated.,SE
"Description: To reduce medication errors at the time of administration of a medication, the patient is positively identified; checks on the drug, the dose, the route and the time are facilitated.",SE
"Description: To reduce errors at the time of blood product administration, the patient is positively identified.",SE
"1) The system shall present information necessary to correctly identify the patient and accurately administer blood products including patient name, blood product number, amount, route, and time of administration.",SE
"Description: To ensure the accuracy of specimen collection, the patient and specimen are positively identified.",SE
"1) The system shall provide the ability to present information necessary to correctly identify the patient and accurately identify the specimen to be collected including, but not limited to, patient name, specimen type, specimen source, means of collection, date and time.",SE
2) The system shall apply local privacy and confidentially rules when assembling aggregate data to prevent identification of individuals by unauthorized parties.,SE
"An EHR-S must be capable of including or interfacing with standards-conformant security services to ensure that any Principal (user, organization, device , application, component, or object) accessing the system or its data is appropriately authenticated, authorized and audited in conformance with local possibly and possibly jurisdictional policies.",SE
"An EHR-S should support Chains of Trust in respect of authentication, authorization, and privilege management, either intrinsically or by interfacing with relevant external services.",SE
Statement: Authenticate EHR-S users possibly and possibly entities before allowing access to an EHR-S.,SE
Description: Both users and applications are subject to authentication.,SE
The EHR-S must provide mechanisms for users and applications to be authenticated.,SE
"Users will have to be authenticated when they attempt to use the application, the applications must authenticate themselves before accessing EHR information managed by other applications or remote EHR-S.",SE
1) The system shall authenticate principals prior to accessing an EHR-S application or EHR-S data.,SE
2) The system shall prevent access to EHR-S applications or EHR-S data to all non-authenticated principals.,SE
"4) In the absence of other appropriate authentication mechanisms, the system shall authenticate principals using at least one of the following authentication mechanisms: username or password, digital certificate, secure token or biometrics.",SE
"Enable EHR-S security administrators to grant authorizations to users, for roles, and within contexts.",SE
User based authorization refers to the permissions granted or denied based on the identity of an individual.,SE
An example of User based authorization is a patient defined denial of access to all or part of a record to a particular party for privacy related reasons.,SE
Another user based authorization is for a tele-monitor device or robotic access to an EHR-S for prescribed directions and other input.,SE
Role based authorization refers to the responsibility or function performed in a particular operation or process.,SE
Context-based Authorization is defined by ISO 10181-3,SE
"Technical Framework for Access Control Standard as security relevant properties of the context in which an access request occurs, explicitly time, location, route of access, and quality of authentication.",SE
"In addition to the ISO standard, context authorization for an EHR-S is extended to satisfy special circumstances such as, work assignment, patient consents and authorizations, or other healthcare-related factors.",SE
2) The system shall conform to function IN.2.2 (Auditable Records) for the purpose of recording all authorization actions.,SE
"3) The system shall provide EHR-S security administrators with the ability to grant authorizations to principals according to scope of practice, organizational policy, or jurisdictional law.",SE
"4) The system shall provide EHR-S security administrators with the ability to grant authorizations for roles according to scope of practice, organizational policy, or jurisdictional law.",SE
"5) The system shall provide EHR-S security administrators with the ability to grant authorizations within contexts according to scope of practice, organizational policy, or jurisdictional law.",SE
"To ensure that access is controlled, an EHR-S must perform authentication and authorization of users or applications for any operation that requires it and enforce the system and information access rules that have been defined.",SE
"Statement: Limit an EHR-S user's ability to deny (repudiate) the origination, receipt, or authorization of a data exchange by that user.",SE
Non repudiation guarantees that the source of the data record can not later deny that it is the source; that the sender or receiver of a message cannot later deny having sent or received the message.,SE
"Non-repudiation is a way to guarantee that the source of data or record can not later deny that fact, that the sender of a message cannot later deny having sent the message, and that the recipient cannot deny having received the message.",SE
"For example, non-repudiation may be achieved through the use of a:",SE
"Digital signature, which serves as a unique identifier for an individual (much like a written signature on a paper document).",SE
Every entry in the health record must be identified with the author and should not be made or signed by someone other than the author.,SE
"Attestation functionality must meet applicable legal, regulatory and other applicable standards or requirements.",SE
1) The system shall conform to function IN.1.1 (Entity Authentication) to provide authentication capabilities.,SE
2) The system shall conform to function IN.1.2 (Entity Authorization) to provide authorization capabilities.,SE
"1) The system shall provide the ability to fully comply with the requirements for patient privacy and confidentiality in accordance with a user's scope of practice, organizational policy, or jurisdictional law.",SE
2) The system shall conform to function IN.1.1 (Entity Authentication).,SE
3) The system shall conform to function IN.1.2 (Entity Authorization).,SE
4) The system shall conform to function IN.1.3 (EntityAccess Control).,SE
5) The system should conform to function IN.1.5 (Non- Repudiation).,SE
6) The system shall conform to function IN.1.6 (Secure DataExchange).,SE
"8) The system shall provide the ability to maintain varying levels of confidentiality in accordance with users' scope of practice, organizational policy, or jurisdictional law.",SE
"Statement: Keep patient identities and conditions invisible to the public and other providers who do not have ""need to know"" on public tracking screens.",SE
"1) The system shall provide a means to flag patients who require protection of their identity from others, including family, visitors, and non participating healthcare providers.",SE
"Statement: Retain, ensure availability, and destroy health record information according to scope of practice, organizational policy, or jurisdictional law.",SE
"Statement: Provide audit capabilities for system access and usage indicating the author, the modification (where pertinent), and the date and time at which a record was created, modified, viewed, extracted, or deleted.",SE
"There is a requirement for system audit trails for the following events: Loading new versions of, or changes to, the clinical system; Loading new versions of codes and knowledge bases; Taking and restoring of backup; Changing the date and time where the clinical system allows this to be done; Archiving any data; Re-activating of an archived patient record; Entry to and exiting from the clinical system; Remote access connections including those for system support and maintenance activities;",SE
3) The system shall provide audit capabilities indicating the time stamp for an object or data creation.,SE
14) The system shall provide the ability to generate an audit report,SE
"1) The system shall provide response to information requests from providers in sub-second times so as to not impair user attention, workflow, or patient flow in the ED practice setting.",SE
The user ID and date or time stamp shall be recorded.,SE
"The system shall have the ability to provide access to standard care plan, protocol and guideline documents when requested at the time of the clinical encounter.",SE
This export on hardcopy and electronic output shall leave the actual PHI data unmodified in the original record.,SE
The system shall have the ability to provide support for disclosure management in compliance with HIPAA and applicable law.,SE
The system shall provide protection to maintain the integrity of clinical data during concurrent access.,SE
"The system shall enforce the most restrictive set of rights or privileges or accesses needed by users or groups (e.g. System Administration, Clerical, Nurse, Doctor, etc.), or processes acting on behalf of users, for the performance of specified tasks.",SE
"The system must be able to associate permissions with a user using one or more of the following access controls: 1) user-based (access rights assigned to each user); 2) role-based (users are grouped and access rights assigned to these groups); or 3) context-based (role-based with additional access rights assigned or restricted based on the context of the transaction such as time-of-day, workstation-location, emergency-mode, etc.)",SE
The system shall be able to detect security-relevant events that it mediates and generate audit records for them.,SE
"The system shall record within each audit record the following information when it is available: (1) date and time of the event; (2) the component of the system (e.g. software component, hardware component) where the event occurred; (3) type of event (including: data description and patient identifier when relevant); (4) subject identity (e.g. user identity); and (5) the outcome (success or failure) of the event.",SE
The system shall provide authorized administrators with the capability to read all audit information from the audit records in one of the following two ways: 1) The system shall provide the audit records in a manner suitable for the user to interpret the information.,SE
The system shall prevent modifications to the audit records.,SE
"The system upon detection of inactivity of an interactive session shall prevent further viewing and access to the system by that session by terminating the session, or by initiating a session lock that remains in effect until the user reestablishes access using appropriate identification and authentication procedures.",SE
The system shall enforce a limit of (configurable) consecutive invalid access attempts by a user.,SE
"The system shall protect against further, possibly malicious, user authentication attempts using an appropriate mechanism (e.g. locks the account or node until released by an administrator, locks the account or node for a configurable time period, or delays the next login prompt according to a configurable delay algorithm).",SE
"When passwords are used, the system shall provide an administrative function that resets passwords.",SE
The system shall provide only limited feedback information to the user during the authentication.,SE
"When passwords are used, the system shall use either standards-based encryption, e.g., 3DES, AES, or standards-based hashing, e.g., SHA1 to store or transport passwords.",SE
"The software used to install and update the system, independent of the mode or method of conveyance, shall be certified free of malevolent software ('malware').",SE
Vendor may self-certify compliance with this standard through procedures that make use of commercial malware scanning software.,SE
"The system shall be configurable to prevent corruption or loss of data already accepted into the system in the event of a system failure (e.g. integrating with a UPS, etc.).",SE
"The system shall support protection of confidentiality of all Protected Health Information (PHI) delivered over the Internet or other known open networks via encryption using triple-DES (3DES) or the Advanced Encryption Standard (AES) and an open protocol such as TLS, SSL, IPSec, XML encryptions, or S or MIME or their successors.",SE
"The system shall support protection of integrity of all Protected Health Information (PHI) delivered over the Internet or other known open networks via SHA1 hashing and an open protocol such as TLS, SSL, IPSec, XML digital signature, or S or MIME or their successors.",SE
"The system shall support ensuring the authenticity of remote nodes (mutual node authentication) when communicating Protected Health Information (PHI) over the Internet or other known open networks using an open protocol (e.g. TLS, SSL, IPSec, XML sig, S or MIME).",SE
"The system, when storing PHI on any device intended to be portable or removable (e.g. thumb-drives, CD-ROM, PDA, Notebook), shall support use of a standards based encrypted format using triple-DES (3DES), or the Advanced Encryption Standard (AES), or their successors.",SE
"""The system, prior to access to any PHI, shall display a configurable warning or login banner (e.g. 'The system should only be accessed by authorized users').",SE
"The system shall be able to generate a backup copy of the application data, security credentials, and log or audit files.",SE
The system restore functionality shall result in a fully operational and secure state.,SE
"This state shall include the restoration of the application data, security credentials, and log or audit files to their previous state.",SE
If the system claims to be available 24 by 7 then the system shall have ability to run a backup concurrently with the operation of the application.,SE
"The federal Personal Information Protection and Electronic Documents Act (PIPEDA), for example, requires all organisations to be responsible for personal information in their possession or custody, including information that has been transferred to a third party for processing.",SE
"Organisations hosting components of the EHRi, should assess, by means of a Privacy Impact Assessment, the risks to personal privacy associated with implementation of the hosted components and should implement appropriate privacy controls to mitigate identified risks.",SE
"Comprehensive Privacy Impact Assessments need to address such issues as privacy risk management, record linkages, and security safeguards.",SE
"To satisfy this legal requirement, healthcare organisations must identify the purposes for which they collect, use and disclose a patient or person's PHI.",SE
"The goal is to make a reasonable effort to ensure that patients or persons understand the purposes for which organisations connected to the EHRi and organisations hosting components of the EHRi collect, use and disclose their PHI.24",SE
"However, the novelty of the EHR and the anxiety it can arouse about the protection of privacy interests make it imperative that patients or persons be informed, in an appropriate way, of the prospective uses and disclosures of their personal information.",SE
Organisations connecting to the EHRi or organisations hosting components of the EHRi should only collect PHI necessary to fulfill the purposes that they have identified (see Privacy Requirement 5).,SE
"Rationale: The ultimate goal is to have no secret, or unspecified, collections, uses or disclosures of personal information held in an EHRi or in POS systems connected to the EHRi.",SE
"Such patients or persons have a right to know what uses and disclosures, in particular, are mandated by law, such as for mandatory reporting of infectious diseases or suspected child abuse or for law enforcement.",SE
"Laws may require express, implied or deemed consent for specific collections, uses and disclosures of PHI.",SE
"Express consent includes any action by a patient or person or their authorized representative (e.g. parent, guardian or substitute decision maker) specifically to authorize the collection, use or disclosure of personal information (e.g. a signature, a check-off box, a verbal approval).",SE
"The assumption of reasonableness usually rests on how well the patient or person was informed about the intended collection, use, or disclosure of his or her personal information.",SE
"An organisation should be able to demonstrate that it complied with applicable legislative requirements and that the patient or person had a reasonable opportunity to know that information was going to be collected and used for specific purposes and persisted with the action that resulted in the information flow.26, 27",SE
"It is assumed that based on jurisdictional requirements for consent that at least some POS systems connected to the EHRi may eventually have specific ""consent fields"" that will allow POS users to enter or ""check-off""how consent was obtained, withdrawn or revoked in those cases where consent was required for specific activities.",SE
The EHRi must reflect legal obligations in its privacy requirements in all of their relative sophistication in this novel area.,SE
"The ultimate obligation is to meet the wishes of the patient or person, in those circumstances where he or she is able to place express instructions on the allowable uses and disclosures of his or her PHI.29",SE
"In addition to meeting these legal requirements, healthcare organisations should also seek to meet high ethical and moral standards for information consent, which is vital to the protection of privacy as an aspect of human dignity and the protection of human rights.",SE
"It is important to note that a patient or person may withdraw consent at any time, subject to legal or contractual restrictions.",SE
"The POS system has to ensure that those accessing this PHI only obtain access to information that is legitimately available on the basis of consent or legal authorization to use or disclose (e.g., auditing or law enforcement).",SE
"Consequently, those organisations wishing to disclose PHI to another jurisdiction must do so in a manner that respects the legal requirements for consent in their own jurisdiction (i.e. the jurisdiction of the disclosing organisation).",SE
"As a practical matter, a healthcare organisation wishing to access PHI from another jurisdiction must do so in a manner that respects the legal requirements for consent to disclose PHI in the jurisdiction of the organisation that holds the data as well as satisfy all the legal requirements for consent to access PHI in its own jurisdiction.",SE
Information contained within a patient or person's EHR may carry with it the legal requirements for consent from multiple jurisdictions (see Privacy Requirement 12).,SE
"Furthermore, some health data protection legislation requires that health information custodians notify a patient or person if his or her information is stolen, lost, or accessed by unauthorized persons.38 The individual(s) responsible for facilitating an organisation's privacy compliance will be greatly assisted in determining when a potential ""unauthorized""access or disclosure of PHI has taken place if they are notified when an individual's consent directives are overridden.",SE
"As logs will themselves contain confidential information, they must be made both secure and tamper-proof.",SE
"In addition to logging overrides of a patient or person's consent directives (Item b in the list above) and alerting accountable individuals that a consent override has occurred (item c in the list above), there is also a related requirement to notify patients or persons when access has been deemed inappropriate (see Privacy Requirement 20).",SE
"Healthcare providers require all relevant PHI from a patient or person's medical history in order to definitively diagnose and safely treat a patient or person. Therefore, when patients or persons request that their healthcare provider mask or lock components of their PHI, it may not be possible for their healthcare team to provide appropriate care.",SE
"Where required to do so by law ,the EHRi and POS systems connected to the EHRi must have the ability to indicate when consent is given on behalf of a patient or person by a substitute decision maker (e.g. consent given by an authorized representative), as well as identify this substitute decision maker and the substitute decision maker's relation to the patient or person.",SE
"Organisations connecting to the EHRi and organisations hosting components of the EHRi must not, as a condition of the supply of a service, require a patient or person to consent to the collection, use or disclosure of PHI beyond that required to fulfill the explicitly specified and legitimate purposes.",SE
"As such, rules for collection, use and disclosure should be strictly delineated and observed because patients will often not object to certain PHI collections, uses and disclosures in light of ""vulnerable""health circumstances.",SE
"In the rare circumstances where a patient withdraws or withholds consent and the healthcare provider believes that care cannot be provided safely, the healthcare provider may determine that it is appropriate to refuse to provide treatment.42",SE
"As outlined in Privacy Requirement 5, organisations connecting to the EHRi and organisations hosting components of the EHRi should limit collection of PHI to that which is necessary for the identified purposes.",SE
PHI should not be collected indiscriminately.,SE
"A caveat is that healthcare providers may collect any information deemed relevant to the purposes stated to patients or persons and then ensure that it is only used and disclosed on a ""need to know"" basis.",SE
"Organisations connecting to the EHRi, and organisations hosting components of the EHRi must not collect PHI by misleading or deceiving patients or persons or healthcare providers about the purposes for which information is being collected.",SE
"When organisations identify the purposes for which they collect PHI (Privacy Requirement 5) and seek the appropriate consent for these purposes (Privacy Requirement 8), it is imperative that they then only use, disclose and retain information for these purposes.",SE
"Organisations connecting to the EHRi and organisations hosting components of the EHRi must only use or disclose PHI for purposes consistent with those for which it was collected, except with the consent of the patient or person or as permitted or required by law.46",SE
"Rationale: The Alberta Health Information Protection Act, Manitoba Personal Health Information Protection Act and Ontario Personal Health Information Act all require that custodians of PHI only collect, use or disclose as much PHI as is reasonably necessary to carry out the identified purposes.",SE
These requirements will greatly assist in operationalizing the limitation of use and disclosure of this PH to authorized users with appropriate roles and privileges.,SE
"Logs of access, modification and disclosure will themselves contain confidential information and must therefore be made both secure and tamper-proof.",SE
"The goal for healthcare organisations is to have PHI that is sufficiently accurate, complete and up-to-date to minimize the possibility that inappropriate PHI may be used to make a decision about a patient or person.",SE
Rationale: An electronic health record environment should facilitate the achievement of better quality records by building in automatic checks on data entry and making it easier to update even the most basic demographic and location information on any patient or person.,SE
"In addition, it is of critical importance for patient safety and a number of other reasons, including the overall success of the EHRS, that EHRi users accurately identify patients or persons prior to accessing or modifying their PHI.",SE
"Concern for physical and system security has always been at the core of data protection and it will be of special importance in a developed electronic health record system, since the risks of a breach of security can be so devastating for the patient or person.",SE
The EHRi must provide functions for marking records of selected patients or persons52 and subsequently making accesses to such data subject to mandatory auditing by the individual accountable for privacy compliance in the organisation.,SE
It may therefore be prudent to place additional audit controls on these records to protect patient privacy.,SE
The EHRi should recognize this practical reality and facilitate the rapid and regular audit of access to these records (perhaps involving notification to a privacy officer on each access).,SE
"Rather, the requirement ensures that the capability exists to rapidly identify prurient interest by users who lack a legitimate need-to-know.",SE
All organisations hosting components of the EHRi or connecting to the EHRi must ensure that privacy education and training and regular updates in organisational privacy policies and procedures are provided to each permanent or temporary employee or third-party contractor who is a registered user of a POS connected to the EHRi or who has access to hosted components of the EHRi.,SE
"The intent of this section is to make it possible for concerned members of the public to know the purposes for collecting, using, and disclosing PHI about them.",SE
Privacy oversight bodies (e.g. Information and Privacy Commissioners) may also want assurance that healthcare organisations have privacy management plans in place.,SE
"It is now well established that patients have a legal right of access to their own health information, subject to limited exceptions in specified circumstances.53",SE
"For example, note that under the Alberta Health Information Act, a health information custodian that discloses PHI must make a note of the name of the person to whom the custodian disclosed the information; the date and purpose of the disclosure; and a description of the information disclosed.",SE
"a) inform a patient or person of the existence, use and disclosure60 of his or her PHI and shall give the patient or person direct access to that PHI where such access is not prohibited by legislation;61",SE
c) allow a patient or person to challenge the accuracy and completeness of his or her PHI and have it amended as appropriate.,SE
Patients or persons thus have a right to check that the information being used to treat them is accurate.,SE
"As discussed further below, the patient or person also has a right to challenge factual errors in particular (see Privacy Requirement 25).",SE
"Some corrections, deletions, or amendments will have a particular relevance to the ongoing healthcare of a patient or person, and they should be made known appropriately.63 Fortunately, a developed electronic health record system will automatically distribute the most up to date information when it is required for authorized purposes.",SE
"Organisations connecting to the EHRi, and organisations hosting components of the EHRi must give patients or persons the right to address a challenge concerning compliance with these requirements to the designated individual or individuals specified in Privacy Requirement 1.",SE
Rationale: To give effect to privacy requirements like Privacy Requirement 3 and Privacy Requirement 7 patients must be able to challenge an organisation's compliance with those requirements.,SE
a) put easily accessible and simple-to-use procedures in place to receive and respond to complaints or inquiries about their policies and practices relating to the handling of PHI;,SE
b) inform complainants and inquirers of the existence of these procedures,SE
c) treat all received complaints as confidential.,SE
"Even if healthcare organisations seek to manage complaints locally and internally by sophisticated mechanisms for their resolution, they should still inform complainants if they have a right to make a privacy complaint to the provincial or territorial Information and Privacy Commissioner (or equivalent).64",SE
Organisations connecting to the EHRi and organisations hosting components of the EHRi must investigate all privacy related complaints.,SE
"If a complaint is found to be justified, the EHRi, organisations connecting to the EHRi and organisations hosting components of the EHRi should take appropriate measures, including, if necessary, amending their policies and practices and notifying the complainant of actions taken.",SE
"Since so many aspects of data protection are now regulated by detailed laws and regulations, a number of complaints will be answered by informing the complainant of what the law requires an organisation to do in specific circumstances.",SE
"-a security policy must be created, promulgated and enforced by administrative and technical means (see section 5.3);",SE
"-privacy, security and business continuity risks must be analysed by means of a Threat and Risk Assessment (see section 5.2) and those risks must be managed against the objectives set by the security policy;",SE
-compliance with the security policy must be assessed on an ongoing basis (see section 5.13);,SE
"-privacy, security and business continuity risks must be re-analysed when significant changes are made to the components of the EHRi that the organisation is hosting (see section 5.2).",SE
An organisation needs to implement a risk management process within the organisation.,SE
This process needs to have the support and commitment of the highest levels of management within the organisation; otherwise it will be difficult to implement and to enforce.,SE
Responsibilities for information risk management throughout the organisation will need to be assigned.,SE
Key organisational objectives in matters related to information risk management will need to be defined.,SE
"Risk management processes will then need to be put in place to assess, manage and mitigate risk on an ongoing basis.",SE
An essential step in mitigating risks associated with information systems such as the EHRi is to perform a threat and risk assessment.,SE
Organisations hosting components of the EHRi must -and origanisations connecting to the EHRi should -assess threats and risks to these components by careful review of a Threat and Risk Assessment (TRA).,SE
"b) an assessment, for each information asset, of how critical it will be to maintain the confidentiality, integrity, and availability of the asset, and accountability for the asset;",SE
"c) a vulnerability analysis, including a comprehensive listing of the privacy and security vulnerabilities of the hosted EHRi components a listing of the actual or planned safeguards that can protect against those vulnerabilities;",SE
d) a risk analysis that determines the residual risk after actual or planned safeguards are put in place;,SE
e) a recommendation of whether residual risk is to be:,SE
"i) further reduced (by adding specific safeguards to the system or scaling back system functionality),",SE
"ii) transferred to a third party, or",SE
iii) accepted by the organisation.,SE
The results will determine priorities for managing information security risks and for implementing controls selected to protect against these risks.,SE
"ISO or IEC 17799 considers security policy to be an essential tool in providing a clear, written framework from which to effectively implement and administer IT security.",SE
"Organisations connecting to the EHRi or hosting components of the EHRi must have a written IT security policy that is approved by management, published, and communicated to all employees and relevant external parties.",SE
2)maintain the security of organisational information processing facilities and information assets accessed by third parties; and,SE
3)maintain the security of information when the responsibility for information processing has been outsourced to another organisation.,SE
a) clearly define and assign information security responsibilities; and,SE
b) ensure that Information security activities relating to the EHRi are co-ordinated by representatives from different parts of the organisation who have relevant roles and job functions.,SE
-performing security assessments and evaluating the organisation's information security risks (see Security Requirement 1);,SE
-developing appropriate security policies (see Security Requirement 2);,SE
"-architecting, implementing and monitoring an enterprise wide information security program ensuring the confidentiality, integrity, and availability of information and the integrity and availability of systems;",SE
-developing and implementing security awareness training programs (see Security Requirement 16);,SE
"-assessing, building and managing an effective information security department ;",SE
-managing expense budgets for IT security services and capital expenditures;,SE
"-establishing protocols to proactively test and protect the integrity, confidentiality, and availability of information enterprise wide within the context of the organisation's privacy and security policies;",SE
-maintaining effective business continuity and disaster recovery plans (see Security Requirement 86); and,SE
Organisations connecting to the EHRi or hosting components of the EHRi must have the implementation of their information security policy either: a) reviewed independently; or b) attested to in a written declaration by the organisation's chief executive officer or board of directors.,SE
PHI flowing from one jurisdiction to another must do so in an environment where a minimum level of protection is afforded regardless of which jurisdiction the information finds itself.,SE
"Third party review can and should occur at many levels: policy reviews, organisational IT security reviews, EHRi-wide Threat and Risk Assessments, TRAs for specific systems, security architecture reviews, technical system testing such as vulnerability testing, and compliance audits against policies and procedures.",SE
"Organisations hosting components of the EHRi must assess, by means of threat and risk analysis, the risks associated with access by external parties to hosted components or to facilities management by external parties and must implement appropriate security controls where necessary to mitigate identified risks.",SE
a) outsourcing management or control of all or some part of EHRi hosted components;,SE
b) third-party facilities management for EHRi hosted components; or.,SE
c) access to the EHRi by third parties.,SE
The objectives of information asset management is to achieve and maintain appropriate protection of organisational assets.,SE
"c)have rules governing the acceptable use of these assets that are identified, documented, and put into practice.",SE
Because one cannot predict the sensitivity of a given element of PHI through all its uses and phases of its life cycle that all PHI should be subject to careful protection at all times.,SE
Identifying and (where appropriate) protectively labelling information assets as confidential can be an important tool in staff training and awareness.,SE
All data contained within a patient or person's EHR is to be considered confidential and its confidentiality uniformly protected.,SE
"This is especially important where the information is contained in email, faxes or other documents which may contain a mixture of confidential and non-confidential information.",SE
"1)reduce risks of human error, theft, fraud or misuse of facilities;",SE
"2)ensure that users are aware of information security threats and concerns, and are equipped to support the corporate security policy in the course of their normal work;",SE
3)minimize the damage from security incidents and malfunctions; and,SE
"All organisations connecting to the EHRi or hosting components of the EHRi should document in job definitions the security roles and responsibilities of staff who are registered users of healthcare applications accessible via the EHRi, as laid down in the organisation's information security policy.",SE
These roles must be defined in a standardised or harmonized manner so as to ensure future interoperability of authentication services between POS systems and the EHRi.,SE
"All organisations connecting to the EHRi or hosting components of the EHRi must include in the terms and conditions of employment of employees (permanent, part-time or contracted) who are, or will be, users of POS systems connected to the EHRi, a statement about the employee's responsibility for information security and privacy.",SE
Terms of Employment involving maintaining confidentiality should survive employment termination (see provisions for confidentiality agreements in Security Requirement 15).,SE
All organisations hosting components of the EHRi or connecting to the EHRi must verify the identity and address of each permanent or temporary staff member or contractor who will become a registered user of a POS connected to the EHRi or who will have access to hosted components of the EHRi.,SE
A simple verification of name and address from reliable identification documents (driver's license for example) suffices to meet the requirement.,SE
"Such verification of identity documents helps to ensure that effective prosecution or litigation can be brought against individuals who can be shown, as a result of analyzing audit logs, to have abused their access privileges.",SE
All organisations hosting components of the EHRi or connecting to the EHRi must obtain a signed confidentiality agreement from each permanent or temporary staff member or contractor who is a registered user of a POS connected to the EHRi or who has access to hosted components of the EHRi as part of his or her initial terms and conditions of employment.,SE
Confidentiality agreements need to be carefully worded to comply with jurisdictional requirements.,SE
All organisations hosting components of the EHRi or connecting to the EHRi must ensure that information security education and training and regular updates in organisational security policies and procedures are provided to each permanent or temporary employee or third-party contractor who is a registered user of a POS connected to the EHRi or who has access to hosted components of the EHRi.,SE
"All users need to be made aware of the confidentiality of PHI, and the procedures required for maintaining this confidentiality.",SE
"As well, users should be made aware of the importance of maintaining the confidentiality of information that refers to identifiable healthcare providers.",SE
"Rationale: Effective termination of user access privileges is a minimum requirement but in the absence of single sign-on capabilities and shared authentication services, it is not always effectually handled.",SE
"Termination of user access privileges will also include termination of digital signatures (see ""Security Requirement 79 Providing Digital Signatures for Users"").",SE
"1)prevent unauthorized access, damage and interference to business premises and information;",SE
"2)prevent loss, damage or compromise of assets and interruption to business activities; and",SE
3)prevent compromise or theft of information and information processing facilities.,SE
"All organisations hosting components of the EHRi must use security perimeters to protect areas that contain information processing facilities supporting EHRi servers, applications or data.",SE
These secure areas must be protected by appropriate entry controls to ensure that only authorized personnel are allowed access.,SE
Rationale: Perimeter security of servers and other aspects of application hosting is a minimum requirement for ensuring the availability and integrity of these important applications and data and for ensuring the confidentiality of information in storage that is not already secured cryptographically.,SE
"In turn, controlling access is a minimum requirement of perimeter security.",SE
"The most detailed provisions are found in Manitoba's health information legislation, which require the trustee to ensure that PHI is maintained in a designated area or areas that is subject to appropriate security safeguards; and to limit physical access to designated areas to authorized persons.",SE
All organisations hosting components of the EHRi must protect sites and equipment supporting the EHRi to reduce the risks from environmental threats and hazards.,SE
All organisations hosting components of the EHRi must protect equipment supporting the EHRi from power failures and other disruptions caused by failures in supporting utilities.,SE
Rationale: This is a minimum requirement for protecting system availability in the 24 by 7 operational environment of healthcare.,SE
"Healthcare demands high system availability, especially in those instances where disruptions of supporting utilities are caused by disasters that themselves result in injuries and therefore place a heavy burden on emergency health services.",SE
"All organisations hosting components of the EHRi must ensure that equipment supporting the EHRi: 1) is not used outside their premises without appropriate safeguards and prior authorization by the organisation's management, and 2) is repaired or serviced by authorized personnel only.",SE
"All organisations hosting components of the EHRi or connecting to the EHRi must securely overwrite or else destroy all media containing EHRi application software, PHI, or security critical system data when no longer required for use.",SE
"Legal requirements follow from the Manitoba regulations pursuant to Personal Health Information Act: ""to ensure the security of PHI in electronic form when the computer hardware or removable electronic storage media on which it has been recorded is being disposed of or used for another purpose"".",SE
"All organisations hosting components of the EHRi must not allow equipment, data or software supporting the EHRi to be removed without authorization by the organisation's management.",SE
1)ensure the correct and secure operation of information processing facilities;,SE
2)minimize the risk of systems failures;,SE
